jurisdiction_name,count_participants,count_female,percent_female,count_male,percent_male,count_gender_unknown,percent_gender_unknown,count_gender_total,percent_gender_total,count_pacific_islander,count_hispanic_latino,percent_hispanic_latino,count_american_indian,percent_american_indian,count_asian_non_hispanic,percent_asian_non_hispanic,count_white_non_hispanic,percent_white_non_hispanic,count_black_non_hispanic,percent_black_non_hispanic,count_other_ethnicity,percent_other_ethnicity,count_ethnicity_unknown,percent_ethnicity_unknown,count_ethnicity_total,percent_ethnicity_total,count_permanent_resident_alien,percent_permanent_resident_alien,count_us_citizen,percent_us_citizen,count_other_citizen_status,percent_other_citizen_status,count_citizen_status_unknown,percent_citizen_status_unknown,count_citizen_status_total,percent_citizen_status_total,count_receives_public_assistance,percent_receives_public_assistance,count_nreceives_public_assistance,percent_nreceives_public_assistance,count_public_assistance_unknown,percent_public_assistance_unknown,count_public_assistance_total,percent_public_assistance_total
CSD 01 Manhattan,11,4,0.36,7,0.64,false,false,11,100,false,1,0.09,false,0,4,0.36,6,0.55,0,0,0,0,0,0,11,100,0,0,11,1,0,0,false,false,11,100,0,0,11,1,false,false,11,100
CSD 02 Manhattan,124,70,0.56,54,0.44,false,false,124,100,false,28,0.23,false,0,54,0.44,1,0.01,37,0.3,4,0.03,0,0,124,100,7,0.06,117,0.94,0,0,false,false,124,100,38,0.31,86,0.69,false,false,124,100
CSD 03 Manhattan,38,26,0.68,12,0.32,false,false,38,100,false,18,0.47,false,0,1,0.03,3,0.08,14,0.37,1,0.03,1,0.03,38,100,3,0.08,35,0.92,0,0,false,false,38,100,14,0.37,24,0.63,false,false,38,100
CSD 04 Manhattan,20,13,0.65,7,0.35,false,false,20,100,false,4,0.2,false,0,0,0,0,0,15,0.75,1,0.05,0,0,20,100,0,0,20,1,0,0,false,false,20,100,8,0.4,12,0.6,false,false,20,100
CSD 05 Manhattan,7,4,0.57,3,0.43,false,false,7,100,false,1,0.14,false,0,1,0.14,0,0,4,0.57,1,0.14,0,0,7,99,1,0.14,6,0.86,0,0,false,false,7,100,1,0.14,6,0.86,false,false,7,100
CSD 06 Manhattan,18,8,0.44,10,0.56,false,false,18,100,false,12,0.67,false,0,2,0.11,0,0,3,0.17,1,0.06,0,0,18,100,1,0.06,17,0.94,0,0,false,false,18,100,7,0.39,11,0.61,false,false,18,100
CSD 07 Bronx,74,40,0.54,34,0.46,false,false,74,100,false,30,0.41,false,0,1,0.01,0,0,38,0.51,4,0.05,1,0.01,74,99,4,0.05,69,0.93,1,0.01,false,false,74,99,22,0.3,52,0.7,false,false,74,100
CSD 08 Bronx,17,16,0.94,1,0.06,false,false,17,100,false,11,0.65,false,0,1,0.06,4,0.24,1,0.06,0,0,0,0,17,100,1,0.06,16,0.94,0,0,false,false,17,100,4,0.24,13,0.76,false,false,17,100
CSD 09 Bronx,34,20,0.59,14,0.41,false,false,34,100,true,17,0.5,true,0.03,0,0,0,0,13,0.38,1,0.03,1,0.03,34,100,1,0.03,33,0.97,0,0,false,false,34,100,12,0.35,22,0.65,false,false,34,100
CSD 10 Bronx,324,189,0.58,135,0.42,false,false,324,100,false,166,0.51,true,0,6,0.02,4,0.01,130,0.4,17,0.05,0,0,324,99,20,0.06,300,0.93,4,0.01,false,false,324,100,112,0.35,212,0.65,false,false,324,100
CSD 11 Bronx,139,82,0.59,57,0.41,false,false,139,100,true,44,0.32,true,0.01,1,0.01,3,0.02,83,0.6,5,0.04,1,0.01,139,100,7,0.05,131,0.94,1,0.01,false,false,139,100,48,0.35,91,0.65,false,false,139,100
CSD 12 Bronx,26,19,0.73,7,0.27,false,false,26,100,false,10,0.38,false,0,0,0,0,0,15,0.58,1,0.04,0,0,26,100,4,0.15,22,0.85,0,0,false,false,26,100,12,0.46,14,0.54,false,false,26,100
CSD 13 Brooklyn,6,6,1,0,0,false,false,6,100,false,0,0,false,0,1,0.17,4,0.67,0,0,1,0.17,0,0,6,100,0,0,6,1,0,0,false,false,6,100,3,0.5,3,0.5,false,false,6,100
CSD 14 Brooklyn,47,34,0.72,13,0.28,false,false,47,100,false,2,0.04,false,0,1,0.02,41,0.87,1,0.02,2,0.04,0,0,47,99,0,0,47,1,0,0,false,false,47,100,31,0.66,16,0.34,false,false,47,100
CSD 15 Brooklyn,63,51,0.81,12,0.19,false,false,63,100,false,2,0.03,false,0,1,0.02,47,0.75,5,0.08,8,0.13,0,0,63,100,3,0.05,60,0.95,0,0,false,false,63,100,23,0.37,40,0.63,false,false,63,100
CSD 16 Brooklyn,0,0,0,0,0,false,false,0,0,false,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,false,false,0,0
CSD 17 Brooklyn,100,75,0.75,25,0.25,false,false,100,100,false,0,0,false,0,0,0,84,0.84,9,0.09,7,0.07,0,0,100,100,1,0.01,99,0.99,0,0,false,false,100,100,36,0.36,64,0.64,false,false,100,100
CSD 18 Brooklyn,19,14,0.74,5,0.26,false,false,19,100,false,2,0.11,false,0,1,0.05,3,0.16,11,0.58,2,0.11,0,0,19,100,2,0.11,17,0.89,0,0,false,false,19,100,1,0.05,18,0.95,false,false,19,100
CSD 19 Brooklyn,0,0,0,0,0,false,false,0,0,false,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,false,false,0,0
CSD 20 Brooklyn,305,234,0.77,71,0.23,false,false,305,100,false,1,0,false,0,6,0.02,289,0.95,0,0,8,0.03,1,0,305,100,6,0.02,298,0.98,1,0,false,false,305,100,158,0.52,147,0.48,false,false,305,100
CSD 21 Brooklyn,421,233,0.55,188,0.45,false,false,421,100,false,21,0.05,false,0,23,0.05,283,0.67,65,0.15,25,0.06,4,0.01,421,99,17,0.04,401,0.95,3,0.01,false,false,421,100,87,0.21,334,0.79,false,false,421,100
CSD 22 Brooklyn,228,159,0.7,69,0.3,false,false,228,100,false,17,0.07,false,0,5,0.02,168,0.74,21,0.09,15,0.07,2,0.01,228,100,5,0.02,223,0.98,0,0,false,false,228,100,30,0.13,198,0.87,false,false,228,100
CSD 23 Brooklyn,0,0,0,0,0,false,false,0,0,false,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,false,false,0,0
CSD 24 Queens,2,1,0.5,1,0.5,false,false,2,100,false,0,0,false,0,2,1,0,0,0,0,0,0,0,0,2,100,0,0,2,1,0,0,false,false,2,100,0,0,2,1,false,false,2,100
CSD 25 Queens,2,1,0.5,1,0.5,false,false,2,100,false,1,0.5,false,0,0,0,0,0,0,0,1,0.5,0,0,2,100,2,1,0,0,0,0,false,false,2,100,0,0,2,1,false,false,2,100
CSD 26 Queens,2,0,0,2,1,false,false,2,100,false,1,0.5,false,0,0,0,0,0,1,0.5,0,0,0,0,2,100,1,0.5,1,0.5,0,0,false,false,2,100,0,0,2,1,false,false,2,100
CSD 27 Queens,40,13,0.33,27,0.68,false,false,40,100,false,1,0.03,false,0,0,0,37,0.93,1,0.03,1,0.03,0,0,40,100,0,0,40,1,0,0,false,false,40,100,5,0.13,35,0.88,false,false,40,100
CSD 28 Queens,26,15,0.58,11,0.42,false,false,26,100,false,3,0.12,false,0,1,0.04,14,0.54,6,0.23,1,0.04,1,0.04,26,100,1,0.04,25,0.96,0,0,false,false,26,100,7,0.27,19,0.73,false,false,26,100
CSD 29 Queens,4,1,0.25,3,0.75,false,false,4,100,false,0,0,false,0,0,0,0,0,4,1,0,0,0,0,4,100,1,0.25,3,0.75,0,0,false,false,4,100,0,0,4,1,false,false,4,100
CSD 30 Queens,6,4,0.67,2,0.33,false,false,6,100,false,5,0.83,false,0,0,0,1,0.17,0,0,0,0,0,0,6,100,1,0.17,5,0.83,0,0,false,false,6,100,1,0.17,5,0.83,false,false,6,100
CSD 31 Richmond,0,0,0,0,0,false,false,0,0,false,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,false,false,0,0
CSD 32 Brooklyn,0,0,0,0,0,false,false,0,0,false,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,0,0,0,false,false,0,0
